,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0005488,64,6,8,1,1,27,57,5,15
GO:0005515,92,9,21,3,0,36,71,12,24
GO:0008150,2,0,1,0,0,0,0,0,2
GO:0009987,147,15,37,5,3,76,80,38,46
GO:0005575,1,0,1,0,0,0,0,0,0
GO:0110165,3,1,2,0,0,1,3,1,2
GO:0005622,81,10,12,2,1,29,66,20,19
GO:0005737,81,12,20,3,0,42,58,27,35
GO:0043226,102,15,23,2,0,50,95,14,28
GO:0043229,117,16,20,3,0,55,93,17,36
GO:0043227,110,21,19,2,0,47,96,17,34
GO:0043231,108,18,19,4,0,46,85,19,32
GO:0005739,14,1,0,1,0,8,8,1,2
GO:0016020,32,13,5,2,0,13,21,8,11
GO:0071944,29,9,9,1,0,12,15,10,8
GO:0005886,31,6,5,1,2,7,11,6,9
GO:0097159,42,3,9,0,3,16,25,9,4
GO:1901363,41,3,8,0,3,16,25,9,4
GO:0003676,36,1,6,0,3,16,23,9,4
GO:0003723,15,0,2,1,3,8,9,6,1
GO:0003729,0,0,1,0,0,0,0,0,0
GO:0065007,128,19,30,5,1,58,86,20,43
GO:0050789,119,17,32,7,1,57,81,15,33
GO:0019222,43,6,12,2,0,25,27,4,11
GO:0060255,41,8,12,3,0,23,25,5,9
GO:0010468,29,9,13,3,0,17,19,6,11
GO:0010608,3,1,0,0,0,2,3,1,1
GO:0008152,49,5,10,1,0,22,32,4,11
GO:0071704,45,5,11,1,0,19,29,3,11
GO:0044237,47,4,6,1,0,24,26,4,9
GO:0044238,45,6,7,1,0,19,24,2,14
GO:0006807,43,5,7,0,0,16,26,3,8
GO:0043170,36,7,7,0,0,15,25,3,8
GO:0034641,27,3,3,0,0,11,16,2,2
GO:1901360,26,2,4,0,0,10,15,1,2
GO:0046483,23,2,4,0,0,10,14,1,3
GO:0006725,22,2,4,0,0,10,13,1,3
GO:0006139,20,2,3,0,0,9,12,2,4
GO:0090304,16,2,3,0,0,8,12,2,4
GO:0016070,7,1,2,0,0,8,8,2,4
GO:0050794,113,16,23,5,1,56,59,11,37
GO:0080090,34,5,9,1,0,20,24,3,13
GO:0051171,37,7,9,1,0,19,24,4,14
GO:0031323,33,4,10,2,0,21,24,3,12
GO:0048519,40,9,10,1,0,17,26,8,14
GO:0065008,17,2,4,1,0,8,10,2,6
GO:0048523,36,6,5,2,0,16,24,5,15
GO:0019219,24,4,6,1,0,16,16,4,11
GO:0051252,23,3,6,1,0,15,15,4,13
GO:0010646,18,6,6,2,0,9,9,2,6
GO:0023051,17,5,6,2,0,8,8,2,6
GO:0048518,46,8,9,2,0,19,26,5,17
GO:0010604,22,5,6,2,0,6,12,2,6
GO:0009893,24,6,5,2,0,5,14,2,7
GO:0043412,12,1,1,0,0,5,9,1,1
GO:0009451,0,0,0,0,0,0,2,0,1
