,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0003674,7,2,0,0,0,1,5,0,1
GO:0005488,47,9,10,0,1,31,31,16,17
GO:0005515,105,15,26,3,4,60,68,21,34
GO:0008150,7,3,0,0,0,0,5,1,2
GO:0009987,142,19,28,5,4,55,93,35,49
GO:0005575,1,0,0,0,0,1,1,0,0
GO:0110165,2,0,0,0,0,1,3,0,0
GO:0005622,108,27,19,8,1,43,62,16,28
GO:0005737,249,45,44,14,6,104,170,35,65
GO:0043226,128,30,37,9,0,55,87,29,49
GO:0043229,145,27,40,9,0,66,93,33,51
GO:0043227,176,37,50,10,1,72,133,51,62
GO:0043231,185,38,54,12,2,81,140,46,50
GO:0005739,42,6,3,1,0,18,36,4,14
GO:0016020,169,24,37,7,2,78,107,40,56
GO:0071944,115,14,20,6,1,57,69,18,29
GO:0005886,96,12,23,6,0,45,57,25,28
GO:0097159,84,12,20,1,1,36,49,18,19
GO:1901363,82,11,19,1,1,37,45,14,19
GO:0003676,75,11,18,1,2,32,40,11,18
GO:0003723,27,2,9,1,0,11,15,2,8
GO:0003729,4,1,6,0,0,7,3,0,8
GO:0065007,181,34,32,5,7,99,141,47,64
GO:0050789,177,32,40,6,7,97,143,46,65
GO:0019222,167,25,52,8,4,77,103,36,62
GO:0060255,152,22,50,9,4,77,92,36,61
GO:0010468,119,10,42,7,4,68,69,33,49
GO:0010608,8,1,2,0,0,7,3,2,4
GO:0008152,127,16,28,2,3,45,88,21,59
GO:0071704,115,17,26,2,3,35,78,15,52
GO:0044237,120,10,24,2,3,50,72,17,47
GO:0044238,107,13,22,2,3,42,74,15,49
GO:0006807,92,9,19,3,3,38,64,15,43
GO:0043170,77,8,19,2,3,24,55,13,36
GO:0034641,62,4,8,1,2,18,30,5,16
GO:1901360,64,4,9,0,2,20,34,5,19
GO:0046483,58,4,9,0,2,17,31,5,16
GO:0006725,57,4,9,0,2,18,30,5,16
GO:0006139,56,4,8,0,2,18,28,5,15
GO:0090304,45,2,6,0,2,13,25,5,15
GO:0016070,26,1,2,0,2,13,12,3,10
GO:0050794,246,35,48,7,7,97,182,63,77
GO:0080090,136,19,38,8,4,81,75,33,55
GO:0051171,135,20,36,9,4,79,74,31,55
GO:0031323,129,14,39,5,4,69,74,34,55
GO:0048519,135,26,41,4,5,71,72,39,57
GO:0065008,41,10,8,2,0,20,35,14,15
GO:0048523,120,19,30,4,3,62,53,35,56
GO:0019219,104,16,32,5,4,62,53,28,46
GO:0051252,87,15,32,5,3,55,44,28,43
GO:0010646,90,13,17,7,0,41,52,28,35
GO:0023051,91,13,17,7,0,43,52,28,35
GO:0048518,190,28,61,6,0,80,117,37,55
GO:0010604,109,11,36,8,0,55,53,24,42
GO:0009893,114,11,37,7,0,58,57,24,44
GO:0043412,24,3,10,0,1,12,22,5,14
GO:0009451,1,0,2,0,0,0,3,0,1
GO:1903311,15,4,5,1,3,7,5,4,6
GO:0009892,90,13,22,4,2,49,44,25,42
GO:0010605,85,12,20,4,2,51,42,24,38
GO:0009894,13,4,11,2,0,10,7,1,9
GO:0031329,7,4,8,2,0,8,5,1,6
GO:0048522,166,27,55,6,0,80,90,33,63
GO:0061013,0,1,5,1,0,3,1,0,2
GO:0043487,0,1,1,1,0,2,1,0,0
GO:0043488,0,1,1,1,0,2,1,0,0
GO:0031324,62,9,15,4,2,42,23,17,27
GO:0051172,67,13,15,4,2,48,28,19,30
GO:0010628,49,7,16,4,0,14,27,14,15
GO:0045934,58,8,11,3,2,42,19,16,24
GO:0051253,57,7,11,3,2,40,18,14,24
GO:0009895,4,2,5,0,0,3,2,0,1
GO:0031330,2,2,3,0,0,2,2,0,1
GO:1902369,0,1,1,0,0,2,1,0,0
GO:0043489,0,1,1,0,0,2,1,0,0
GO:1903312,0,1,1,0,0,2,1,0,1
GO:1902373,0,1,1,0,0,2,1,0,0
GO:0048255,0,1,1,0,0,2,1,0,0
GO:0005634,137,25,31,4,1,80,99,35,39
GO:0032991,122,18,22,3,2,61,61,25,49
GO:0140513,31,7,11,2,0,7,14,4,14
GO:1902494,34,3,7,2,0,11,19,4,17
GO:0071840,86,17,23,1,1,44,70,28,27
GO:0016043,88,16,23,1,1,45,69,27,28
GO:0006996,48,6,13,0,1,18,45,11,14
GO:0030030,17,4,5,0,0,13,10,6,4
GO:0120036,17,4,5,0,0,13,10,6,4
GO:0044782,3,0,0,0,0,2,6,3,4
GO:0044085,42,8,16,1,0,26,27,13,14
GO:0022607,43,7,16,1,0,26,27,13,16
GO:0070925,14,1,5,0,0,8,11,4,7
GO:0030031,6,0,0,0,0,4,8,2,3
GO:0120031,6,0,0,0,0,4,8,2,3
GO:0060271,4,0,0,0,0,2,6,2,4
GO:0042995,24,2,7,0,1,21,17,20,16
GO:0120025,24,2,7,0,1,21,17,20,16
GO:0005929,8,0,0,0,1,5,4,9,6
GO:0030990,2,0,0,0,0,1,1,1,0
GO:0030992,1,0,0,0,0,1,0,1,0
GO:0031325,86,10,33,4,0,54,42,23,33
GO:2001141,74,12,25,4,0,48,36,23,36
GO:1903506,74,12,26,4,0,49,36,23,34
GO:0031326,87,11,27,5,0,51,42,24,41
GO:0010556,81,11,25,6,0,50,38,24,39
GO:0009889,88,11,27,6,0,54,43,24,42
GO:0006355,74,12,26,4,0,49,36,23,34
GO:0051173,91,11,33,8,0,57,45,22,34
GO:0006357,59,8,18,2,0,44,23,17,31
GO:1903508,53,10,20,3,0,42,21,20,26
GO:1902680,53,10,20,3,0,42,21,20,26
GO:0051254,53,10,20,4,0,42,21,20,26
GO:0045935,65,10,22,4,0,44,25,20,28
GO:0045893,53,10,20,3,0,42,21,20,26
GO:0031328,58,9,22,3,0,43,21,21,29
GO:0010557,57,9,20,4,0,42,21,21,28
GO:0009891,58,9,22,4,0,45,21,21,29
GO:0045944,49,9,18,2,0,34,19,17,29
GO:0090575,16,4,6,2,0,5,5,1,4
GO:0070847,0,0,0,0,0,1,1,0,0
GO:0005667,31,6,3,2,2,13,11,6,10
GO:0003824,75,11,8,2,0,22,60,12,21
GO:0016491,16,5,2,0,0,2,14,0,5
GO:0016614,4,0,0,0,0,1,4,0,2
GO:0016616,5,0,0,1,0,1,4,0,2
GO:0005215,17,2,5,1,0,4,21,1,4
GO:0022857,16,2,3,1,0,3,19,0,4
GO:0015318,6,2,2,1,0,2,6,2,1
GO:0015075,7,2,1,1,0,2,8,0,3
GO:0008324,4,2,0,0,0,2,4,1,2
GO:0022890,3,2,0,0,0,1,3,1,1
GO:1901702,4,1,2,1,0,1,6,2,1
GO:0022804,5,0,0,0,0,2,2,0,2
GO:0015291,3,0,0,0,0,1,0,0,1
GO:0015293,1,0,0,0,0,0,0,0,0
GO:0022853,3,0,0,0,0,0,0,0,2
GO:0046873,0,1,0,0,0,1,3,1,0
GO:0015294,1,0,0,0,0,0,0,0,0
GO:0051179,105,17,23,5,2,36,73,26,23
GO:0051234,89,16,18,3,1,18,59,16,16
GO:0006810,77,15,17,2,1,17,49,15,10
GO:0071702,23,4,9,1,0,4,21,7,5
GO:0055085,7,2,4,0,0,2,6,1,7
GO:0008643,2,0,0,0,0,0,1,0,0
GO:0034219,0,0,0,0,0,0,1,0,0
GO:0015749,0,0,0,0,0,0,1,0,0
GO:0031982,91,24,26,4,0,38,48,24,27
GO:0005576,73,7,23,4,1,25,50,23,24
GO:1903561,56,6,14,2,0,16,23,15,19
GO:0065010,56,6,14,2,0,16,23,15,19
GO:0043230,56,6,14,2,0,16,23,15,19
GO:0070062,56,6,14,2,0,16,23,14,19
GO:0005615,76,8,18,4,0,24,41,19,26
GO:0070013,177,29,45,9,3,112,98,38,55
GO:0043233,177,29,45,9,3,112,98,38,55
GO:0031974,177,29,45,9,3,112,98,38,55
GO:0031981,143,18,26,9,3,89,79,31,36
GO:0003677,51,9,12,1,2,23,28,10,14
GO:0010467,33,3,5,0,2,16,13,5,12
GO:1901576,55,5,5,2,2,19,28,5,20
GO:0044249,52,6,6,2,2,17,23,6,16
GO:0009058,55,5,5,2,2,19,28,5,20
GO:1901362,35,3,3,0,2,15,14,2,5
GO:0044271,35,2,2,0,2,16,13,2,7
GO:0034654,29,2,2,0,2,16,10,2,3
GO:0019438,32,2,2,0,2,16,12,2,4
GO:0018130,35,2,2,0,2,15,14,2,4
GO:0009059,35,2,3,1,2,14,16,4,11
GO:0097659,20,1,1,0,2,9,7,2,3
GO:0032774,20,1,1,0,2,9,7,2,3
GO:0006366,12,1,1,0,0,9,5,2,3
GO:0006351,20,1,1,0,2,9,7,2,3
GO:0032502,92,9,21,5,3,60,52,29,43
GO:0032501,137,26,24,6,3,57,63,23,40
GO:0048856,77,8,21,4,3,51,44,27,35
GO:0007275,58,15,17,1,0,37,38,15,27
GO:0009653,43,11,11,1,0,33,28,15,17
GO:0048736,2,0,0,0,0,3,2,1,1
GO:0035107,1,0,0,0,0,3,2,1,1
GO:0060173,2,0,0,0,0,2,2,1,1
GO:0035108,1,0,0,0,0,2,2,1,1
GO:0043232,107,12,21,4,5,49,76,17,38
GO:0043228,107,12,21,4,5,49,76,17,38
GO:0005856,45,3,11,4,1,23,36,7,13
GO:0015630,34,3,6,4,1,18,22,8,10
GO:0005815,16,3,4,0,0,6,11,0,1
