isoform,length,plddt,transcript_ID,gene_ID,gene_name
P84022-4,230,89.90352174,ENST00000537194.6,ENSG00000166949.17,SMAD3
Q86Y33-3,477,63.20398323,ENST00000322374.10,ENSG00000164287.13,CDC20B
Q9H8T0-2,293,77.45634812,ENST00000300245.8,ENSG00000166971.17,AKTIP
Q7L4E1-2,323,54.72343653,ENST00000439290.5,ENSG00000148343.19,MIGA2
P40337-3,160,94.278375,na,na,na
Q9Y5N1-2,453,75.32889625,na,na,na
P15529-11,377,83.93835544,ENST00000367042.6,ENSG00000117335.20,CD46
Q8IZP0-10,388,72.75409794,na,na,na
Q8NC56-2,201,84.57278607,ENST00000508327.5,ENSG00000161904.12,LEMD2
Q6UX46-2,91,73.23615385,na,na,na
Q15555-4,274,72.57240876,ENST00000538170.6,ENSG00000166974.13,MAPRE2
Q06643-2,77,69.25896104,ENST00000446745.2,ENSG00000227507.3,LTB
Q4KMZ1-2,230,65.67065217,na,na,na
Q9H871-2,98,90.54897959,na,na,na
Q8N108-19,370,63.82372973,ENST00000355977.10,ENSG00000198160.15,MIER1
O76075-3,116,68.08103448,ENST00000339350.7,ENSG00000169598.17,DFFB
A0PJE2-3,271,65.58273063,ENST00000280056.6,ENSG00000102796.12,DHRS12
Q9UNW8-2,192,79.34588542,na,na,na
Q6IPU0-2,115,81.99956522,ENST00000375579.7,ENSG00000188312.14,CENPP
Q5UCC4-2,254,80.07106299,ENST00000376918.7,ENSG00000161671.17,EMC10
Q07699-2,268,67.93488806,ENST00000415950.5,ENSG00000105711.14,SCN1B
Q92993-2,461,79.60308026,ENST00000352980.8,ENSG00000172977.13,KAT5
O95072-2,530,65.53558491,na,na,na
Q5R372-3,827,74.56169287,na,na,na
P80723-2,173,55.37820809,na,na,na
Q96MF2-3,178,77.86101124,ENST00000546246.2,ENSG00000185482.8,STAC3
P14618-3,516,88.25744186,na,na,na
Q9P055-2,248,86.54278226,na,na,na
Q9NNX6-5,404,66.84913366,na,na,na
Q86VZ4-2,237,76.03316456,na,na,na
Q86TI4-1,491,74.84395112,na,na,na
P53990-3,360,68.25794444,ENST00000329908.12,ENSG00000182149.21,IST1
Q9BUP0-2,143,80.71062937,ENST00000409613.5,ENSG00000115468.13,EFHD1
Q9BRV3-2,166,71.41674699,ENST00000368401.6,ENSG00000169241.19,SLC50A1
Q8IVW1-4,203,45.98192118,na,na,na
Q16629-4,226,60.28358407,ENST00000446327.6,ENSG00000115875.19,SRSF7
Q9BZ67-2,408,76.6289951,ENST00000355991.9,ENSG00000126391.14,FRMD8
Q6P5X5-2,117,69.76957265,na,na,na
Q5PSV4-2,275,85.73454545,na,na,na
Q8N3R3-3,70,65.60314286,ENST00000396078.7,ENSG00000179152.20,TCAIM
Q8N3J6-5,327,82.3882263,na,na,na
Q92526-3,493,86.09401623,ENST00000421975.7,ENSG00000132141.14,CCT6B
Q8WWV6-4,440,55.18222727,na,na,na
Q07866-3,564,76.10234043,ENST00000557450.5,ENSG00000126214.22,KLC1
Q7LG56-3,139,71.74438849,ENST00000519317.5,ENSG00000048392.13,RRM2B
Q9NQ25-2,228,75.01008772,ENST00000368042.7,ENSG00000026751.17,SLAMF7
Q9H426-2,270,72.8937037,ENST00000541604.2,ENSG00000101098.13,RIMS4
P13473-3,411,83.90783455,ENST00000434600.6,ENSG00000005893.16,LAMP2
Q68CQ7-2,259,71.50189189,na,na,na
Q6UXH1-5,402,79.34763682,ENST00000404488.7,ENSG00000184164.15,CRELD2
Q13561-3,403,75.81248139,ENST00000543672.6,ENSG00000175203.17,DCTN2
Q8IZL9-4,338,81.17804734,ENST00000336654.9,ENSG00000156345.18,CDK20
Q13324-4,387,77.30341085,ENST00000506074.6,ENSG00000106113.19,CRHR2
P07910-4,250,71.969,ENST00000555883.5,ENSG00000092199.19,HNRNPC
Q00325-2,361,80.76404432,ENST00000552981.6,ENSG00000075415.15,SLC25A3
Q9H9T3-5,455,94.06887912,ENST00000380353.8,ENSG00000134014.17,ELP3
Q14508-4,80,79.070375,na,na,na
Q8NB59-4,265,59.48301887,ENST00000399639.6,ENSG00000143469.20,SYT14
Q9BZR8-3,276,60.12543478,ENST00000298566.2,ENSG00000121380.12,BCL2L14
Q9UQ53-2,547,83.80590494,na,na,na
O60895-2,180,79.04538889,ENST00000587142.5,ENSG00000131477.11,RAMP2
Q8NCR6-3,111,64.36477477,ENST00000379126.7,ENSG00000164972.14,C9orf24
O60256-3,320,80.9634375,ENST00000542013.5,ENSG00000141127.15,PRPSAP2
P28289-2,232,88.1899569,ENST00000375175.1,ENSG00000136842.14,TMOD1
Q9UHX1-2,542,67.96693727,ENST00000349157.10,ENSG00000179950.14,PUF60
Q6UXL0-3,147,83.81680272,na,na,na
O60828-9,67,78.7641791,ENST00000692023.1,ENSG00000102103.18,PQBP1
P23511-2,318,51.67600629,ENST00000353205.5,ENSG00000001167.15,NFYA
P30626-2,183,87.65928962,ENST00000394641.7,ENSG00000075142.14,SRI
Q92769-3,458,86.11,ENST00000368632.6,ENSG00000196591.12,HDAC2
Q6ZUS6-5,529,69.58604915,ENST00000389609.8,ENSG00000181982.19,CCDC149
Q9Y694-2,546,85.61798535,ENST00000372589.7,ENSG00000137204.15,SLC22A7
P07992-3,323,72.03083591,ENST00000013807.9,ENSG00000012061.16,ERCC1
O00506-3,332,78.19289157,ENST00000543554.5,ENSG00000115694.15,STK25
Q9Y2C5-4,221,61.00574661,ENST00000397076.2,ENSG00000146039.11,SLC17A4
P49903-2,321,88.82211838,ENST00000378614.8,ENSG00000086475.15,SEPHS1
P20290-2,162,77.5991358,ENST00000335895.12,ENSG00000145741.17,BTF3
Q6GTX8-3,269,75.20148699,ENST00000474878.5,ENSG00000167613.16,LAIR1
Q06330-7,487,86.46716632,ENST00000355476.8,ENSG00000168214.22,RBPJ
Q5XKL5-2,305,71.03895082,na,na,na
Q96P71-3,203,75.31192118,na,na,na
P02708-2,457,80.78050328,ENST00000348749.9,ENSG00000138435.16,CHRNA1
Q03936-3,554,72.20700361,ENST00000357512.3,ENSG00000146757.14,ZNF92
O00476-2,498,82.94823293,ENST00000397060.8,ENSG00000124564.17,SLC17A3
Q9Y215-8,329,60.16531915,na,na,na
P49763-2,149,82.62134228,ENST00000553716.5,ENSG00000119630.14,PGF
Q96PC3-4,154,94.84681818,ENST00000396654.7,ENSG00000152056.17,AP1S3
Q9BZZ5-2,504,87.23684524,ENST00000378852.7,ENSG00000166181.13,API5
Q9BPW4-3,347,55.47449568,na,na,na
Q10587-2,273,73.10695971,ENST00000406644.7,ENSG00000167074.15,TEF
Q5W0U4-2,193,88.42849741,na,na,na
Q8NFG4-2,342,73.79619883,ENST00000389169.9,ENSG00000154803.13,FLCN
Q9H3H1-5,385,82.93553247,ENST00000441669.6,ENSG00000043514.17,TRIT1
P35372-8,397,76.31710327,ENST00000435918.6,ENSG00000112038.18,OPRM1
