reference,length,plddt,class,helix,sheet,loop,surface charge,radius of gyration
P28161,218,98.50715596,high,0.541284404,0.087155963,0.371559633,-1,17.50439616
P15559,274,98.30394161,high,0.412408759,0.113138686,0.474452555,7,19.79240935
P09488,218,98.28077982,high,0.54587156,0.087155963,0.366972477,-3,17.57963657
P49189,494,98.26587045,high,0.410931174,0.204453441,0.384615385,-2,24.01153256
P23526,432,98.23909722,high,0.486111111,0.141203704,0.372685185,-1,22.32800947
Q03013,218,98.21711009,high,0.54587156,0.087155963,0.366972477,-6,17.56151656
P08319,380,98.16997368,high,0.292105263,0.213157895,0.494736842,8,20.75647606
P62937,165,98.03612121,high,0.151515152,0.303030303,0.545454545,2,14.38663376
P16930,419,97.99424821,high,0.255369928,0.245823389,0.498806683,5,22.00289463
Q00796,357,97.97635854,high,0.316526611,0.226890756,0.456582633,10,20.75004043
P30046,118,97.96838983,high,0.347457627,0.220338983,0.43220339,-1,14.79855399
Q6P1N9,297,97.94441077,high,0.468013468,0.077441077,0.454545455,2,18.50454808
Q9H3S4,243,97.92617284,high,0.279835391,0.259259259,0.46090535,-10,18.23722177
P30047,84,97.91178571,high,0.192982456,0.192982456,0.596491228,-1,11.71187289
Q15493,299,97.90494983,high,0.060200669,0.548494983,0.391304348,1,17.72487947
P00325,375,97.89042667,high,0.296,0.213333333,0.490666667,10,20.71291698
Q16773,422,97.88746445,high,0.478672986,0.111374408,0.409952607,-3,21.74188416
Q8N4P3,179,97.88452514,high,0.715083799,0,0.284916201,-2,15.86784262
P06744,558,97.83729391,high,0.541218638,0.093189964,0.365591398,9,26.13419315
Q96KP4,475,97.82501053,high,0.387368421,0.2,0.412631579,-6,23.53667419
P16152,277,97.80960289,high,0.512635379,0.111913357,0.375451264,3,18.24033905
P30711,240,97.78475,high,0.654166667,0.0625,0.283333333,1,17.67183172
Q6UWP2,260,97.74865385,high,0.5,0.142307692,0.357692308,-3,17.8864477
C9JRZ8,316,97.71503165,high,0.389240506,0.117088608,0.493670886,-2,18.92008376
Q9H7C9,122,97.70647541,high,0.31147541,0.262295082,0.426229508,4,12.86524837
Q8TDX5,336,97.69404762,high,0.4375,0.154761905,0.407738095,-6.66E-16,19.47345942
Q9Y316,297,97.67104377,high,0.424242424,0.198653199,0.377104377,2,18.55339413
P22392,152,97.65427632,high,0.5,0.157894737,0.342105263,3,15.42165415
P32119,198,97.64085859,high,0.328282828,0.222222222,0.449494949,-2,18.15933327
Q96BW5,349,97.63661891,high,0.467048711,0.063037249,0.46991404,1,19.03444982
P10599,105,97.59933333,high,0.428571429,0.238095238,0.333333333,-3,12.51705553
Q8TDQ7,276,97.58449275,high,0.460144928,0.152173913,0.387681159,1,18.02049777
Q9BV86,223,97.55690583,high,0.408071749,0.228699552,0.3632287,-4,16.42221495
Q9H0W9,315,97.54530159,high,0.174603175,0.384126984,0.441269841,-2,18.18818525
P13929,434,97.49403226,high,0.426267281,0.140552995,0.433179724,13,21.0803533
P12955,493,97.44206897,high,0.385395538,0.14198783,0.472616633,-11,24.60426224
Q9BUT1,245,97.42722449,high,0.457142857,0.155102041,0.387755102,1,17.68058147
Q14914,329,97.42610942,high,0.343465046,0.243161094,0.41337386,5,20.7937781
Q08623,228,97.41035088,high,0.504385965,0.087719298,0.407894737,-7,18.04693402
P15531,152,97.38276316,high,0.5,0.157894737,0.342105263,-3,15.33202782
Q7L5Y1,443,97.3789842,high,0.489841986,0.11738149,0.392776524,3,21.17477943
P31939,592,97.37883446,high,0.464527027,0.157094595,0.378378378,-2,33.50243268
Q9H2A2,487,97.36848049,high,0.425051335,0.203285421,0.371663244,1,23.65533099
Q9NRG4,433,97.36244804,high,0.524249423,0.101616628,0.374133949,-2,22.71276896
Q9H7B4,428,97.31179907,high,0.53271028,0.093457944,0.373831776,-1.33E-15,22.39920738
P50053,298,97.2997651,high,0.375838926,0.238255034,0.38590604,-3,18.92652728
O43708,216,97.28800926,high,0.578703704,0.069444444,0.351851852,3,17.04693977
Q9H227,469,97.28513859,high,0.447761194,0.1108742,0.441364606,-6,21.24973683
Q9Y3D8,172,97.28,high,0.558139535,0.191860465,0.25,-16,16.42432134
Q9BWD1,397,97.26382872,high,0.392947103,0.191435768,0.415617128,5,20.48356125
Q9NRG7,293,97.25068259,high,0.433447099,0.136518771,0.43003413,3,18.80192392
Q8N5Z0,425,97.24665882,high,0.444705882,0.12,0.435294118,-2.22E-15,23.23571498
P62873,340,97.22702941,high,0.082352941,0.458823529,0.458823529,-6,20.54373141
Q9ULC4,181,97.21558011,high,0.342541436,0.26519337,0.392265193,6,16.61592064
Q9Y617,370,97.20354054,high,0.394594595,0.116216216,0.489189189,5,21.32676571
P62879,340,97.18576471,high,0.082352941,0.476470588,0.441176471,-6,20.41737342
P07108,87,97.16977011,high,0.701149425,0,0.298850575,-1,13.29069414
P36871,562,97.16508897,high,0.37544484,0.259786477,0.364768683,10,24.00366279
P53680,142,97.14112676,high,0.478873239,0.218309859,0.302816901,-3,15.07496617
P16520,340,97.1345,high,0.082352941,0.476470588,0.441176471,-8,20.34786421
Q9UDX4,400,97.1245,high,0.39,0.24,0.37,-3,24.60515463
Q8TCE9,139,97.12374101,high,0.043165468,0.532374101,0.424460432,-1,14.13804096
Q9H4Y5,243,97.11786008,high,0.559670782,0.074074074,0.366255144,2,18.08738731
P30085,196,97.09433673,high,0.591836735,0.12755102,0.280612245,-3,16.2904599
Q8NDC4,146,97.08684932,high,0.109589041,0.5,0.390410959,3,16.65844083
Q14376,348,97.07841954,high,0.416666667,0.149425287,0.433908046,1,19.45992466
P09104,434,97.07698157,high,0.435483871,0.147465438,0.417050691,-8,21.1586211
Q13907,227,97.05792952,high,0.321585903,0.290748899,0.387665198,-1,16.76389727
O95050,263,97.05524715,high,0.3878327,0.216730038,0.395437262,-6,17.09141542
P36639,156,97.05442308,high,0.126903553,0.329949239,0.543147208,-3,19.34687861
P05089,322,97.04947205,high,0.419254658,0.118012422,0.462732919,6,19.04117291
Q9Y2T3,454,97.04447137,high,0.425110132,0.167400881,0.407488987,-12,22.35524527
P51857,326,97.04,high,0.380368098,0.113496933,0.506134969,4,19.0574211
Q9H008,270,96.99325926,high,0.425925926,0.17037037,0.403703704,-2,18.80406258
Q9UBQ7,328,96.98091463,high,0.393292683,0.143292683,0.463414634,2,22.29018494
P07741,180,96.97966667,high,0.394444444,0.3,0.305555556,1,16.07420994
P43166,264,96.97068182,high,0.178030303,0.25,0.571969697,1,17.51738874
O15217,222,96.95189189,high,0.621621622,0.067567568,0.310810811,2,17.82359835
Q53FA7,332,96.94635542,high,0.343373494,0.234939759,0.421686747,-1.78E-15,19.84563751
Q08257,329,96.93787234,high,0.337386018,0.215805471,0.446808511,7,20.44003062
Q9NSY2,213,96.92525822,high,0.281690141,0.342723005,0.375586854,-2,16.4515761
P21397,527,96.89931689,high,0.404174573,0.165085389,0.430740038,7,26.0266504
P20711,480,96.89560417,high,0.529166667,0.116666667,0.354166667,1,24.42672353
Q15165,354,96.8820339,high,0.127118644,0.451977401,0.420903955,-9,20.4334921
Q96IU4,210,96.87404762,high,0.361904762,0.238095238,0.4,-2,15.74655287
Q8N4T8,237,96.83729958,high,0.510548523,0.160337553,0.329113924,7,17.50765636
P52895,323,96.83188854,high,0.40247678,0.139318885,0.458204334,4,19.00715553
P40925,334,96.80832335,high,0.482035928,0.182634731,0.335329341,2,19.71594288
P09525,319,96.79557994,high,0.721003135,0,0.278996865,-7.55E-15,21.61525279
Q5VYX0,342,96.78549708,high,0.315789474,0.269005848,0.415204678,-3,20.78671468
P19961,511,96.78213307,high,0.277886497,0.146771037,0.575342466,8,23.3199515
Q16836,314,96.77792994,high,0.554140127,0.124203822,0.321656051,7,21.86607935
P52209,483,96.77418219,high,0.579710145,0.060041408,0.360248447,3,25.72016768
P15428,266,96.75887218,high,0.5,0.165413534,0.334586466,-5,18.67669535
P60174,249,96.747751,high,0.469879518,0.152610442,0.37751004,2,17.03157955
P09455,135,96.74407407,high,0.125925926,0.548148148,0.325925926,-5,14.32223708
A2VDF0,154,96.74214286,high,0.363636364,0.188311688,0.448051948,-1,15.42273699
P61086,200,96.70775,high,0.49,0.115,0.395,-3,18.54825559
P51648,485,96.70515464,high,0.509278351,0.134020619,0.356701031,6,28.97196488
Q8N136,415,96.70457831,high,0.072289157,0.486746988,0.440963855,-5,21.34565622
P50225,295,96.68694915,high,0.477966102,0.088135593,0.433898305,3,18.5166026
P14618,531,96.68022599,high,0.419962335,0.201506591,0.378531073,10,24.92997783
P34949,423,96.67775414,high,0.312056738,0.262411348,0.425531915,-5,23.10081619
O75884,186,96.65989247,high,0.360215054,0.166666667,0.47311828,-5,15.09872691
P30566,484,96.65801653,high,0.69214876,0.026859504,0.280991736,4,30.91872453
Q9H2H8,161,96.64217391,high,0.155279503,0.267080745,0.577639752,-1,14.58470825
O15540,132,96.63689394,high,0.159090909,0.606060606,0.234848485,-3,14.00773697
Q99714,261,96.63632184,high,0.463601533,0.149425287,0.38697318,2,18.47270476
Q96MX6,357,96.61927171,high,0.016806723,0.540616246,0.442577031,5,19.81347399
Q14353,236,96.58245763,high,0.394067797,0.216101695,0.389830508,-4,16.76039988
Q9P2T1,348,96.58227011,high,0.373563218,0.198275862,0.42816092,1,19.97849021
Q96AT9,228,96.57842105,high,0.469298246,0.179824561,0.350877193,-6,16.50156391
Q86WQ0,139,96.55956835,high,0.064748201,0.417266187,0.517985612,-3,14.40044853
P0DMM9,295,96.5500678,high,0.474576271,0.084745763,0.440677966,-4.00E-15,18.52320868
P34896,483,96.53223602,high,0.494824017,0.115942029,0.389233954,3,25.26362708
P00558,417,96.5301199,high,0.417266187,0.172661871,0.410071942,6,23.29390649
Q9BV57,179,96.52988827,high,0.234636872,0.324022346,0.441340782,-3,15.92376324
P42330,323,96.51665635,high,0.399380805,0.139318885,0.46130031,6,18.96105517
O95861,308,96.50909091,high,0.366883117,0.188311688,0.444805195,-1,18.71569202
Q9UBQ0,182,96.50703297,high,0.148351648,0.368131868,0.483516484,-1,15.27075765
P61077,147,96.49639456,high,0.37414966,0.156462585,0.469387755,2,15.85737361
P62837,147,96.49136054,high,0.37414966,0.156462585,0.469387755,2,15.89521227
P22061,227,96.48810573,high,0.356828194,0.233480176,0.40969163,1,16.54009638
Q9Y600,493,96.46713996,high,0.494929006,0.09127789,0.413793103,-1,25.09306017
Q13228,472,96.46699153,high,0.086864407,0.351694915,0.561440678,4,20.54885189
P04075,364,96.40901099,high,0.478021978,0.131868132,0.39010989,5,19.46589664
Q03154,408,96.40855392,high,0.355392157,0.220588235,0.424019608,-7,24.09860627
P38117,255,96.4005098,high,0.325490196,0.235294118,0.439215686,6,21.45676868
Q9Y2S2,319,96.38733542,high,0.573667712,0.109717868,0.31661442,-5,21.93610493
P13716,330,96.38590909,high,0.445454545,0.142424242,0.412121212,-3.55E-15,20.3185079
P17174,413,96.38145278,high,0.481840194,0.11622276,0.401937046,-2,22.35299664
O15305,246,96.37857724,high,0.406504065,0.207317073,0.386178862,2,19.80245735
Q8TE69,158,96.36993671,high,0.284810127,0.284810127,0.430379747,-8.88E-16,15.66617538
Q15124,567,96.33483245,high,0.379188713,0.255731922,0.365079365,9,23.99678056
P04424,464,96.32855603,high,0.674568966,0.028017241,0.297413793,1,30.86071433
P30038,563,96.31831261,high,0.424511545,0.156305506,0.419182948,5,27.76244748
Q8IUZ5,450,96.30535556,high,0.424444444,0.14,0.435555556,-1,22.51476341
P07311,99,96.28727273,high,0.292929293,0.353535354,0.353535354,3,12.95015293
Q99489,341,96.28677419,high,0.351906158,0.26686217,0.381231672,4,21.38848056
O43684,328,96.2782622,high,0.030487805,0.545731707,0.423780488,-1.55E-15,19.01623439
Q13564,534,96.26277154,high,0.56741573,0.097378277,0.335205993,-13,29.13599157
P29218,277,96.23039711,high,0.386281588,0.231046931,0.38267148,-4,18.05908047
Q5T013,277,96.22119134,high,0.451263538,0.101083032,0.44765343,-4,17.94347188
P31153,395,96.19648101,high,0.344303797,0.212658228,0.443037975,-2,22.0670303
P00338,332,96.17198795,high,0.469879518,0.13253012,0.397590361,8,21.72906472
Q9NPJ3,140,96.15871429,high,0.3,0.392857143,0.307142857,4,14.73735581
P00374,187,96.14994652,high,0.22459893,0.288770053,0.486631016,-2.22E-15,16.17664635
P43353,468,96.14089744,high,0.491452991,0.153846154,0.354700855,4,25.95278823
P09417,244,96.14,high,0.409836066,0.18442623,0.405737705,-2.22E-15,17.4141844
P21695,349,96.13936963,high,0.555873926,0.108882521,0.335243553,-3,19.87386546
Q8N9F7,314,96.13920382,high,0.474522293,0.152866242,0.372611465,7,21.40229253
Q8N8N7,351,96.13421652,high,0.336182336,0.239316239,0.424501425,-9,20.729675
Q96C11,551,96.1100363,high,0.43738657,0.143375681,0.41923775,-5,23.67506871
P60900,246,96.07662602,high,0.422764228,0.223577236,0.353658537,-6.66E-16,18.9984929
P15289,507,96.06897436,high,0.278106509,0.124260355,0.597633136,-5,23.33938525
