isoform,length,plddt,transcript_ID,gene_ID,gene_name
P84022-4,230,89.90352173913041,ENST00000537194.6,ENSG00000166949.17,SMAD3
Q9H8T0-2,293,77.45634812286694,ENST00000300245.8,ENSG00000166971.17,AKTIP
P40337-3,160,94.27837499999995,na,na,na
Q9Y5N1-2,453,75.32889624724059,na,na,na
P15529-11,377,83.93835543766576,ENST00000367042.6,ENSG00000117335.20,CD46
Q8IZP0-10,388,72.75409793814428,na,na,na
Q8NC56-2,201,84.57278606965174,ENST00000508327.5,ENSG00000161904.12,LEMD2
Q6UX46-2,91,73.23615384615384,na,na,na
Q15555-4,274,72.57240875912409,ENST00000538170.6,ENSG00000166974.13,MAPRE2
Q9H871-2,98,90.54897959183673,na,na,na
Q9UNW8-2,192,79.34588541666669,na,na,na
Q6IPU0-2,115,81.99956521739132,ENST00000375579.7,ENSG00000188312.14,CENPP
Q5UCC4-2,254,80.071062992126,ENST00000376918.7,ENSG00000161671.17,EMC10
Q92993-2,461,79.6030802603037,ENST00000352980.8,ENSG00000172977.13,KAT5
Q5R372-3,827,74.56169286577997,na,na,na
Q96MF2-3,178,77.86101123595505,ENST00000546246.2,ENSG00000185482.8,STAC3
P14618-3,516,88.25744186046506,na,na,na
Q9P055-2,248,86.54278225806449,na,na,na
Q86VZ4-2,237,76.03316455696199,na,na,na
Q86TI4-1,491,74.8439511201629,na,na,na
Q9BUP0-2,143,80.71062937062938,ENST00000409613.5,ENSG00000115468.13,EFHD1
Q9BRV3-2,166,71.41674698795178,ENST00000368401.6,ENSG00000169241.19,SLC50A1
Q9BZ67-2,408,76.6289950980392,ENST00000355991.9,ENSG00000126391.14,FRMD8
Q5PSV4-2,275,85.7345454545455,na,na,na
Q8N3J6-5,327,82.38822629969424,na,na,na
Q92526-3,493,86.09401622718052,ENST00000421975.7,ENSG00000132141.14,CCT6B
Q07866-3,564,76.1023404255319,ENST00000557450.5,ENSG00000126214.22,KLC1
Q7LG56-3,139,71.74438848920865,ENST00000519317.5,ENSG00000048392.13,RRM2B
Q9NQ25-2,228,75.01008771929834,ENST00000368042.7,ENSG00000026751.17,SLAMF7
Q9H426-2,270,72.89370370370372,ENST00000541604.2,ENSG00000101098.13,RIMS4
P13473-3,411,83.90783454987834,ENST00000434600.6,ENSG00000005893.16,LAMP2
Q68CQ7-2,259,71.50189189189186,na,na,na
Q6UXH1-5,402,79.34763681592048,ENST00000404488.7,ENSG00000184164.15,CRELD2
Q13561-3,403,75.8124813895781,ENST00000543672.6,ENSG00000175203.17,DCTN2
Q8IZL9-4,338,81.17804733727816,ENST00000336654.9,ENSG00000156345.18,CDK20
Q13324-4,387,77.3034108527132,ENST00000506074.6,ENSG00000106113.19,CRHR2
P07910-4,250,71.96899999999998,ENST00000555883.5,ENSG00000092199.19,HNRNPC
Q00325-2,361,80.76404432132958,ENST00000552981.6,ENSG00000075415.15,SLC25A3
Q9H9T3-5,455,94.0688791208791,ENST00000380353.8,ENSG00000134014.17,ELP3
Q14508-4,80,79.07037500000003,na,na,na
Q9UQ53-2,547,83.80590493601458,na,na,na
O60895-2,180,79.0453888888889,ENST00000587142.5,ENSG00000131477.11,RAMP2
O60256-3,320,80.96343750000001,ENST00000542013.5,ENSG00000141127.15,PRPSAP2
P28289-2,232,88.18995689655172,ENST00000375175.1,ENSG00000136842.14,TMOD1
Q6UXL0-3,147,83.81680272108842,na,na,na
O60828-9,67,78.76417910447758,ENST00000692023.1,ENSG00000102103.18,PQBP1
P30626-2,183,87.65928961748632,ENST00000394641.7,ENSG00000075142.14,SRI
Q92769-3,458,86.11000000000004,ENST00000368632.6,ENSG00000196591.12,HDAC2
Q9Y694-2,546,85.61798534798547,ENST00000372589.7,ENSG00000137204.15,SLC22A7
P07992-3,323,72.03083591331263,ENST00000013807.9,ENSG00000012061.16,ERCC1
