reference,length,plddt,transcript_ID,gene_ID,gene_name
Q5T0D9,272,72.38029411764701,ENST00000378344.7,ENSG00000158109.15,TPRG1L
Q99439,309,70.1968932038835,ENST00000263097.9,ENSG00000064666.15,CNN2
P51843,470,59.12953191489364,ENST00000378970.5,ENSG00000169297.8,NR0B1
Q6PGQ7,559,50.09237924865831,ENST00000390667.11,ENSG00000136122.18,BORA
Q9UKS7,526,50.39593155893536,ENST00000434687.6,ENSG00000030419.17,IKZF2
Q9UDX4,400,97.12450000000004,ENST00000215812.9,ENSG00000100012.12,SEC14L3
Q9P016,225,83.77835555555556,ENST00000341541.8,ENSG00000151500.15,THYN1
Q15544,211,72.36303317535544,ENST00000361288.9,ENSG00000064995.19,TAF11
P10827,490,73.27138775510218,ENST00000264637.8,ENSG00000126351.13,THRA
Q8N142,457,92.56052516411374,ENST00000330877.7,ENSG00000185100.11,ADSS1
P57768,344,68.58465116279068,ENST00000345957.9,ENSG00000104497.15,SNX16
Q9P2A4,366,74.70428961748625,ENST00000225941.6,ENSG00000108798.9,ABI3
Q9H3P2,528,68.58009469696965,ENST00000382882.9,ENSG00000185049.16,NELFA
Q9H2V7,528,84.20528409090906,ENST00000311008.16,ENSG00000169682.18,SPNS1
Q9Y624,299,87.01735785953178,ENST00000368026.11,ENSG00000158769.18,F11R
O15155,118,83.35728813559322,ENST00000222547.8,ENSG00000105829.13,BET1
P57723,403,66.90950372208437,ENST00000461554.6,ENSG00000090097.22,PCBP4
Q8NBU5,361,84.77623268698062,ENST00000680024.1,ENSG00000138138.14,ATAD1
Q7Z5S9,345,88.21536231884053,ENST00000296529.11,ENSG00000164124.11,TMEM144
Q9HAW7,530,91.8812075471698,ENST00000373426.4,ENSG00000244122.3,UGT1A7
Q9NR22,394,86.21210659898472,ENST00000382622.4,ENSG00000111218.12,PRMT8
P20813,491,94.20252545824847,ENST00000324071.10,ENSG00000197408.10,CYP2B6
O95718,433,77.80796766743651,na,na,na
P14927,111,93.09495495495491,ENST00000287022.10,ENSG00000156467.10,UQCRB
Q8TDF5,533,71.26819887429635,ENST00000327305.11,ENSG00000166342.19,NETO1
Q8N4T4,335,92.20943283582086,ENST00000378387.4,ENSG00000137135.18,ARHGEF39
O95433,338,81.96544378698222,ENST00000216479.8,ENSG00000100591.8,AHSA1
Q8WVD3,245,78.21126530612247,ENST00000261593.8,ENSG00000134758.14,RNF138
P58499,235,92.98293617021282,ENST00000357985.7,ENSG00000183844.17,FAM3B
Q9ULZ0,124,37.7050806451613,ENST00000398664.4,ENSG00000205456.11,TP53TG3D
Q6UXB0,366,52.60363387978144,ENST00000383847.7,ENSG00000175182.15,FAM131A
P52564,334,81.7657185628743,ENST00000590474.7,ENSG00000108984.15,MAP2K6
O75387,559,79.37903398926653,ENST00000278426.8,ENSG00000149150.9,SLC43A1
P80188,198,91.40525252525256,ENST00000277480.7,ENSG00000148346.12,LCN2
Q969U6,566,85.71577738515903,ENST00000325285.8,ENSG00000159069.14,FBXW5
Q5PSV4,323,80.35068111455112,ENST00000216807.12,ENSG00000100916.14,BRMS1L
Q96DB2,347,92.603688760807,ENST00000295757.8,ENSG00000163517.15,HDAC11
Q9Y5R5,561,54.330552584670286,ENST00000358146.7,ENSG00000173253.16,DMRT2
P35610,550,81.05979999999998,ENST00000367619.8,ENSG00000057252.13,SOAT1
A4IF30,521,66.8402879078695,ENST00000339762.10,ENSG00000151812.15,SLC35F4
Q05519,484,55.461776859504106,ENST00000370949.2,ENSG00000116754.14,SRSF11
Q8NCK3,441,78.68278911564622,ENST00000361807.8,ENSG00000198298.13,ZNF485
Q7L5Y6,550,88.74774545454551,ENST00000268148.13,ENSG00000140543.15,DET1
