isoform,length,plddt,class,seqence identity,tm-score,helix,sheet,loop,surface charge,radius of gyration,high id low tm,charge positive,charge negative,radius positive,radius negative,ptm added,ptm buried to exposed,ptm exposed to buried,ptm missed,ptm added(curated),ptm buried to exposed(curated),ptm exposed to buried(curated),ptm missed(curated)
P30038-2,503,98.647833,high,89.34280639,0.946223315,0.429423459,0.17693837,0.393638171,-5,25.11308815,na,na,na,na,na,0,0,0,1,0,0,0,0
P04062-4,449,98.42481069,high,83.76865672,0.917707579,0.327394209,0.224944321,0.44766147,4,22.22132124,na,na,na,na,na,0,0,0,0,0,0,0,0
P04179-4,176,98.32596591,high,79.27927928,0.895931441,0.670454545,0.136363636,0.193181818,2,17.47155406,na,na,na,na,na,0,0,0,0,0,0,0,0
P28161-2,191,98.25183246,high,86.69724771,0.934560109,0.581151832,0.104712042,0.314136126,-4,17.6288775,na,na,na,na,na,0,0,0,6,0,0,0,0
P31153-2,299,98.22130435,high,75.69620253,0.877997434,0.344481605,0.214046823,0.441471572,-1,22.50623241,na,na,na,na,na,0,2,0,8,0,0,0,2
P04062-3,263,98.18475285,high,48.69402985,0.743861465,0.422053232,0.08365019,0.494296578,0,18.38437532,na,na,na,na,na,0,0,0,4,0,0,0,0
P49419-2,511,98.13473581,high,94.80519481,0.972089547,0.414872798,0.223091977,0.362035225,0,25.27571904,na,na,na,na,na,0,0,1,0,0,0,0,0
Q6P1N9-2,250,98.12108,high,84.17508418,0.91988416,0.512,0.108,0.38,-4,18.31394797,na,na,na,na,na,0,0,0,5,0,0,0,0
P45954-2,330,97.98193939,high,76.38888889,0.878977346,0.560606061,0.154545455,0.284848485,-4,21.51639448,na,na,na,na,na,0,0,0,3,0,0,0,0
P00325-2,335,97.95770149,high,89.33333333,0.946432858,0.331343284,0.158208955,0.510447761,6,19.93537173,na,na,na,na,na,0,2,0,2,0,0,0,0
