isoform,plddt_difference,exon_skipping,alternative_donor_site,alternative_acceptor_site,mutually_exclusive_exon,intron_retention,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon,tm_align
P84022-4,6.21714526854214,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.69935041
Q9H8T0-2,0.2459371639627932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696272437
P15529-11,1.7752942131759681,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705683704
Q8NC56-2,14.049167779393244,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.542131568
Q6IPU0-2,3.1161639492753466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.628302435
Q5UCC4-2,1.973505740217604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.733616901
Q92993-2,4.092359012740374,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760986712
Q96MF2-3,8.614829917273724,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.559245812
Q9BUP0-2,2.631884600754873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.463083845
Q9BZ67-2,2.7150350743746685,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801063845
Q92526-3,4.050210187913862,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90272488
Q07866-3,0.6695132004010844,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5823807950881447
Q7LG56-3,13.504699829879627,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500563671
Q9NQ25-2,3.3565988478658113,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627248857
Q9H426-2,1.019837532699981,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.749257367
P13473-3,0.2770052815856445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.867370978
Q6UXH1-5,8.482221541019982,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548971143
Q13561-3,0.3322068897236221,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206875512
Q13324-4,1.818049001301361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.832920277
Q00325-2,0.5191048499411437,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.962987389
Q9H9T3-5,2.2251496876065744,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.914494735
O60895-2,1.9398682539682284,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697849918
O60256-3,6.295912093495971,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785480482
P28289-2,3.544190879838581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.738709454
O60828-9,8.519047029005947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.235327536
P30626-2,2.9663603245570442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.919435015
Q92769-3,0.8264139344262844,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.830459595
Q9Y694-2,0.6943539611242215,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990918384
P07992-3,4.852127049650321,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.644446667
O00506-3,1.6288220487584368,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.542717171
P49903-2,1.353136721978487,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.884740464
P20290-2,4.837533860721592,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.62466199
Q06330-7,1.4318263244353062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.924870918
P02708-2,0.549206261292781,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895618427
Q03936-3,0.7717305725656161,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6844355
